samples
-83.29014921465603
-89.19494236055658
-87.67032734065072
-88.89230806594855
-89.90681071227243
-87.43706265331974
-79.07918605750746
-81.94759493270465
-86.79379165938602
-91.58914851820523
-82.81752732299088
-87.88056719946096
-90.58209418637631
-90.55937471850348
-88.88296840787777
-86.35654856745879
-88.16231672885027
-90.70697442095266
-87.81831060411014
-87.43936719779674
-88.21138673980818
-86.72012020117958
-86.14074625102657
-92.7448552265628
-88.73075169662243
-84.41594933959959
-87.0770165552315
-84.96901266838506
-87.21090191215583
-86.89237732890001
-85.6997609689235
-85.12444173372393
-85.58226023814274
-87.79503212823647
-92.25198591580252
-80.08242389065703
-87.54372690731765
-90.76242616113882
-89.08029444788028
-86.09117388199417
-88.92547245154961
-82.24128822583609
-90.33574827044879
-85.38132916156232
-82.74009741862142
-86.07891372921532
-87.55157900101415
-88.41676190959879
-85.23393924872266
-88.87118274807162
-85.77072762134185
-87.87271034272129
-87.56056503670425
-86.15275884368936
-86.52021795383837
-85.53340692761896
-88.0775359733098
-90.93776213270098
-86.96808909682989
-86.5166809549026
-88.36512576937824
-89.43769923051372
-86.62184826366769
-84.81749322119418
-90.60795317530602
-90.14209600092437
-86.1778495150096
-87.5940364570047
-84.00537963669552
-88.29634256785081
-86.02139824759757
-88.62303036692145
-84.09619375608744
-85.77605669873162
-89.68355183416978
-87.20282457923116
-89.6601254981224
-89.04709659466747
-89.97159990546635
-87.2643821526039
-91.4336855370027
-91.02814721469767
-90.32660899974331
-87.5350186836896
-86.26646097213057
-87.85436953366582
-87.10799256332183
-89.47306685010093
-86.55981668586608
-88.00885543119892
-83.43743636474002
-89.17773876259005
-88.25398046567116
-88.09340806043713
-88.28185119035334
-91.22957686666152
-91.16110656975974
-86.41283128086513
-91.31148769401463
-89.72103336168189
