apparent_elevation,loss
0,1.1983742970788351
1,0.7588025584143089
2,0.5318266684304156
3,0.4016433384618535
4,0.31963944474413997
5,0.26417033183208627
6,0.2245328254216703
7,0.19496802970969077
8,0.17215392984134453
9,0.15406029352843745
10,0.1393851310048763
11,0.1272590025615991
12,0.11708107645647862
13,0.10842380877218767
14,0.10097519199211928
15,0.09450248758914898
16,0.08882872345931278
17,0.08381703585340154
18,0.0793599783704913
19,0.075372060947089
20,0.071784439949014
21,0.06854107190750215
22,0.06559588264013635
23,0.0629106532759503
24,0.06045342062438514
25,0.058197252006195424
26,0.05611929639846122
27,0.05420004200862376
28,0.05242272984215987
29,0.05077288640369597
30,0.049237948280865536
31,0.047806958243884534
32,0.04647031748656891
33,0.045219582291162616
34,0.044047296110727795
35,0.0429468500866691
36,0.04191236654639586
37,0.040938601189284024
38,0.04002086056095989
39,0.03915493210120945
40,0.03833702459151049
41,0.03756371724334189
42,0.03683191600231275
43,0.03613881590416034
44,0.035481868528866506
45,0.03485875376707859
46,0.03426735524688883
47,0.033705738882027575
48,0.03317213408845581
49,0.03266491729195983
50,0.032182597407797234
51,0.03172380302460636
52,0.03128727106385124
53,0.030871836722445655
54,0.030476424532362253
55,0.030100040396960313
56,0.029741764483393055
57,0.02940074486502188
58,0.029076191826012624
59,0.02876737274954298
60,0.028473607522079756
61,0.028194264395643445
62,0.02792875625627481
63,0.027676537255229568
64,0.02743709976317567
65,0.027209971612971964
66,0.02699471360289348
67,0.026790917228380326
68,0.026598202630540652
69,0.026416216726185236
70,0.026244631512057272
71,0.0260831425230915
72,0.02593146743078004
73,0.025789344769801194
74,0.025656532779754326
75,0.025532808355709802
76,0.02541796609413841
77,0.0253118174301363
78,0.02521418985689197
79,0.025124926222223273
80,0.02504388409597257
81,0.02497093520375061
82,0.024905964923106483
83,0.024848871837683716
84,0.024799567346276676
85,0.024757975324854357
86,0.0247240318376571
87,0.024697684896313635
88,0.024678894264734626
89,0.02466763130959255
